AuthorID,LastName,FirstName,NumberOfTitles,Publisher
998-72-3567,Ringer,Albert,2,"New Moon Books"
899-46-2035,Ringer,Anne,1,"Binnet & Hardley"
899-46-2035,Ringer,Anne,1,"New Moon Books"
846-92-7186,Hunter,Sheryl,1,"Algodata Infosystems"
807-91-6654,Panteley,Sylvia,1,"Binnet & Hardley"
756-30-7391,Karsen,Livia,1,"Binnet & Hardley"
724-80-9391,MacFeather,Stearns,1,"Algodata Infosystems"
724-80-9391,MacFeather,Stearns,1,"Binnet & Hardley"
722-51-5454,DeFrance,Michel,1,"Binnet & Hardley"
712-45-1867,"del Castillo",Innes,1,"Binnet & Hardley"
672-71-3249,Yokomoto,Akiko,1,"Binnet & Hardley"
648-92-1872,Blotchet-Halls,Reginald,1,"Binnet & Hardley"
486-29-1786,Locksley,Charlene,1,"Algodata Infosystems"
486-29-1786,Locksley,Charlene,1,"New Moon Books"
472-27-2349,Gringlesby,Burt,1,"Binnet & Hardley"
427-17-2319,Dull,Ann,1,"Algodata Infosystems"
409-56-7008,Bennet,Abraham,1,"Algodata Infosystems"
274-80-9391,Straight,Dean,1,"Algodata Infosystems"
267-41-2394,O'Leary,Michael,1,"Algodata Infosystems"
267-41-2394,O'Leary,Michael,1,"Binnet & Hardley"
238-95-7766,Carson,Cheryl,1,"Algodata Infosystems"
213-46-8915,Green,Marjorie,1,"Algodata Infosystems"
213-46-8915,Green,Marjorie,1,"New Moon Books"
172-32-1176,White,Johnson,1,"New Moon Books"
